Cliente,Nit,Ejecutivo,Email,EjId,CliId
4 PAJAROS S.A.S.,900977113,Francisco Castro,gestor.cartagena@proservis.com.co,e8,c1
99 MINUTOS COLOMBIA S.A.S.,901415150,Claudia Sanchez,lider.operativo@proservis.com.co,e5,c2
AGECOLDA S.A.S.,890311251,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c3
AGENCIA DE ADUANAS AGECOLDEX S.A.,800254610,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c4
AGENCIA SEGUROS S.A.,900074589,Claudia Sanchez,lider.operativo@proservis.com.co,e5,c5
AGRAF INDUSTRIAL S.A.S.,805017279,Evelyn Lopez,ejecutivo.cali2@proservis.com.co,e7,c6
ALAI S.A.S,860074479,Evelyn Lopez,ejecutivo.cali2@proservis.com.co,e7,c7
ALIMENTOS SKY S.A.S.,9015811507,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c8
ALUMINIO NACIONAL S.A.,890300213,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c9
ANCLA Y VIENTO SAS,830026818,Claudia Sanchez,lider.operativo@proservis.com.co,e5,c10
AYV EXPRESS,830055842,Claudia Sanchez,lider.operativo@proservis.com.co,e5,c11
BANCO FALABELLA S.A.,900047981,Claudia Sanchez,lider.operativo@proservis.com.co,e5,c12
BANCO W S.A.,900378212,Jorge Enciso,jenciso@bancow.com.co,e13,c13
BGO DISTRIBUIDOR SAS,901932896,Claudia Sanchez,lider.operativo@proservis.com.co,e5,c14
BURICA S.A.,800130144,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c15
C.F QBCO S.A.S.,901228788,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c16
C3 CONSTRUCCIONES Y CONTRATOS ZONA FRANCA S.A.S.,901163868,Evelyn Lopez,ejecutivo.cali2@proservis.com.co,e7,c17
CAJAS COLOMBIANAS S.A.S.,890306240,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c18
CALZADO TERRANO S.A.S.,900270177,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c19
CARLOS ALBERTO GIRALDO SALAZAR,1013594236,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c20
CARVEL S.A . INGENIEROS CONTRATISTAS,890300412,Evelyn Lopez,ejecutivo.cali2@proservis.com.co,e7,c21
CASA DIELECTRICA,730740907,Maria Helena Delgado,ejecutivo.thpasto@proservis.com.co,e15,c22
CASA ELECTRICA NO. 1,12987992,Maria Helena Delgado,ejecutivo.thpasto@proservis.com.co,e15,c23
CEMENTOS SAN MARCOS S.A.,900233101,Johan Andrey Moncada,ejecutivo.buga@proservis.com.co,e12,c24
CENTRAL DE ABASTECIMIENTOS DEL VALLE DEL CAUCA S.A.,900317814,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c25
CFT S.A.S. - UNITED,827000595,Evelyn Lopez,ejecutivo.cali2@proservis.com.co,e7,c26
CHAMPUTIZ ACOSTA SEGUNDO HERMES,12982296,Maria Helena Delgado,ejecutivo.thpasto@proservis.com.co,e15,c27
CHEVRON PETROLEUM COMPANY,860005223,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c28
CIA INTERNACIONAL ALIMENTOS S.A.,817000747,Alejandra Loaiza,ejecutivocali.gh@yupi.com.co,e1,c29
CLINICA IMBANACO S.A.S.,890307200,Juan David Varela,ejecutivo.integral@proservis.com.co,e14,c30
COEXITO S.A.,890300225,Johan Andrey Moncada,ejecutivo.buga@proservis.com.co,e12,c31
COLDEACEROS SA,900205225,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c32
COLOMBIANA DE MOLDEADOS S.A.S.,890320250,Johan Andrey Moncada,ejecutivo.buga@proservis.com.co,e12,c33
COMERCIALIZADORA MI SUPER,901953101,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c34
COMPAÑIA DSIERRA S.A.S.,900397839,Maria Helena Delgado,ejecutivo.thpasto@proservis.com.co,e15,c35
COMPAÑIA NACIONAL DE LEVADURAS LEVAPAN S.A.,890303400,Jhonatan Gonzalez,ejecutivo.bogota1@proservis.com.co,e11,c36
CONCENTRADOS DEL SUR LTDA,890900291,Maria Helena Delgado,ejecutivo.thpasto@proservis.com.co,e15,c37
CONFORT SALUD,,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c38
CONSULTPPLIE,,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c39
COOPERATIVA NACIONAL DE DROGUISTAS DETALLISTAS - COOPIDROGAS,890306216,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c40
COORPORACION MUNCHY S.A.S.,900984565,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c41
CORPORACION DE TRANSPORTADORES NARIÑENSES S.A.,891200642,Maria Helena Delgado,ejecutivo.thpasto@proservis.com.co,e15,c42
CRUZ ROJA COLOMB SEC VALLE,890306215,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c43
DERIVADOS LÁTEOS QBCO S.A.S.,830033723,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c44
DISTRIBUCION Y TRANSPORTES S.A.,809009050,Jhonatan Gonzalez,ejecutivo.bogota1@proservis.com.co,e11,c45
DISTRICARGO OPERATIONS S A COLOMBIA,900927454,Jhonatan Gonzalez,ejecutivo.bogota1@proservis.com.co,e11,c46
E.S.M. LOGISTICA S.A.S.,900429481,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c47
EMBOTELLADORA DE BEBIDAS DEL TOLIMA S.A.,800196667,Claudia Medina,ejecutivo.ibague@proservis.com.co,e4,c48
EMPAQUES DE COLOMBIA EMPACANDO S.A.S.,860530492,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c49
EQUIMISEG LTDA EXTINTORES QUIMICOS Y SEGURIDAD,805007674,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c50
ESPEJOS S.A.,900017447,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c51
FADEPLAST BUGA S.A.S.,900614243,Johan Andrey Moncada,ejecutivo.buga@proservis.com.co,e12,c52
FAREVA VILLA RICA S.A.S.,901232631,Evelyn Lopez,ejecutivo.cali2@proservis.com.co,e7,c53
FEXTON S.A.S.,8221002693,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c54
FONDO DE EMPLEADOS DE SERVICIOS - FONSER,900158592,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c55
FORSA S.A.,805017818,Marian Urueta,ejecutivo.bucaramanga@proservis.com.co,e16,c56
FULLMINERIA,900161000,Claudia Sanchez,lider.operativo@proservis.com.co,e5,c57
FUNDACION INSTITUTO MAYOR CAMPESINO,891300587,Johan Andrey Moncada,ejecutivo.buga@proservis.com.co,e12,c58
GIRAG S.A.S.,,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c59
GIRALDO VILLEGAS ELADIO ANTONIO - DISTRIBUCIONES ELDIMI - GRUPO FINESA,15444857,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c60
GOODYEAR DE COLOMBIA S.A.,890200474,Evelyn Lopez,ejecutivo.cali2@proservis.com.co,e7,c61
GRICOL S.A,830092830,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c62
GRUPO FINESA,31520036,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c63
HOUM COLOMBIA S.A.S.,9013931564,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c64
INCUBADORA SANTANDER USUARIO INDUSTRIAL ZF S.A.S.,900860248,Marian Urueta,ejecutivo.bucaramanga@proservis.com.co,e16,c65
INDUSTRIAS PATOJITO S.A.S.,8170008095,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c66
INMOBILIARIA RUIZ PEREA,804001357,Jhonatan Gonzalez,ejecutivo.bogota1@proservis.com.co,e11,c67
INSTITUTO DE LAS RELIGIOSAS DE SAN JOSE DE GERONA,890301430,Johan Andrey Moncada,ejecutivo.buga@proservis.com.co,e12,c68
INTEGRANDO S.A.S.,891411213,Jhon Jairo Cardenas,ejecutivo.thpereira@proservis.com.co,e10,c69
INVERPACK S.A.S,900334468,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c70
IPSMEDIC S.A.S.,900138474,Ginna Toro,ejecutivo.cali3@proservis.com.co,e9,c71
ISTITUTO DI CULTURA,830000684,Claudia Sanchez,lider.operativo@proservis.com.co,e5,c72
IX COMERCIO COLOMBIA S.A.S,901290132,Jhonatan Gonzalez,ejecutivo.bogota1@proservis.com.co,e11,c73
JARALEZ S.A.S.,9000738637,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c74
JCR PACK LIMITED INC,2230625,Andrea Martínez,ejecutivo.cali6@proservis.com.co,e2,c75
LA ASEGURADORA LTDA,830128078,Yerly Milena Gomez,ejecutivo.bogota@proservis.com.co,e17,c76
